Wavelength (nm),Sum,Cu I (8.1e-01),Cu II (1.9e-01)
200.11,2.676e-11,,2.676e-11
200.16,4.743e-10,,4.743e-10
200.21,7.432e-9,,7.432e-9
200.26,1.029e-7,,1.029e-7
200.31,1.260e-6,,1.260e-6
200.36,1.364e-5,,1.364e-5
200.41,1.304e-4,,1.304e-4
200.46,1.103e-3,,1.103e-3
200.51,8.244e-3,,8.244e-3
200.56,5.448e-2,,5.448e-2
200.61,3.184e-1,,3.184e-1
200.66,1.646e+0,,1.646e+0
200.72,1.006e+1,,1.006e+1
200.77,3.986e+1,,3.986e+1
200.82,1.404e+2,,1.404e+2
200.87,4.417e+2,,4.417e+2
200.92,1.253e+3,,1.253e+3
200.97,3.249e+3,,3.249e+3
201.02,7.862e+3,,7.862e+3
201.07,1.818e+4,,1.818e+4
201.12,4.093e+4,,4.093e+4
201.17,8.994e+4,,8.994e+4
201.22,1.901e+5,9.664e-8,1.901e+5
201.27,3.775e+5,1.742e-6,3.775e+5
201.32,6.890e+5,2.779e-5,6.890e+5
201.37,1.138e+6,3.924e-4,1.138e+6
201.42,1.682e+6,4.905e-3,1.682e+6
201.47,2.215e+6,5.427e-2,2.215e+6
201.52,2.588e+6,5.314e-1,2.588e+6
201.57,2.680e+6,4.606e+0,2.680e+6
201.62,2.456e+6,3.534e+1,2.456e+6
201.67,1.991e+6,2.400e+2,1.991e+6
201.72,1.429e+6,1.443e+3,1.427e+6
201.77,9.129e+5,7.676e+3,9.052e+5
201.82,5.437e+5,3.615e+4,5.076e+5
201.87,4.025e+5,1.507e+5,2.518e+5
201.92,6.672e+5,5.560e+5,1.113e+5
201.97,1.863e+6,1.816e+6,4.687e+4
202.02,5.279e+6,5.249e+6,3.054e+4
202.07,1.349e+7,1.343e+7,5.885e+4
202.12,3.058e+7,3.042e+7,1.661e+5
202.17,6.142e+7,6.097e+7,4.429e+5
202.22,1.092e+8,1.082e+8,1.052e+6
202.27,1.721e+8,1.699e+8,2.212e+6
202.32,2.403e+8,2.362e+8,4.118e+6
202.37,2.975e+8,2.907e+8,6.787e+6
202.42,3.265e+8,3.166e+8,9.903e+6
202.47,3.180e+8,3.052e+8,1.279e+7
202.52,2.751e+8,2.604e+8,1.463e+7
202.57,2.115e+8,1.967e+8,1.481e+7
202.62,1.448e+8,1.315e+8,1.327e+7
202.67,8.836e+7,7.783e+7,1.053e+7
202.72,4.817e+7,4.076e+7,7.401e+6
202.77,2.351e+7,1.890e+7,4.607e+6
202.82,1.030e+7,7.756e+6,2.545e+6
202.87,4.073e+6,2.817e+6,1.255e+6
202.92,1.471e+6,9.058e+5,5.651e+5
202.97,5.092e+5,2.578e+5,2.514e+5
203.02,2.075e+5,6.493e+4,1.425e+5
203.07,1.710e+5,1.448e+4,1.565e+5
203.12,3.236e+5,2.857e+3,3.208e+5
203.17,8.168e+5,4.991e+2,8.163e+5
203.22,2.062e+6,7.716e+1,2.062e+6
203.27,4.800e+6,1.056e+1,4.800e+6
203.32,1.008e+7,1.279e+0,1.008e+7
203.37,1.901e+7,1.372e-1,1.901e+7
203.42,3.219e+7,1.302e-2,3.219e+7
203.47,4.900e+7,1.094e-3,4.900e+7
203.52,6.723e+7,8.132e-5,6.723e+7
203.57,8.329e+7,5.352e-6,8.329e+7
203.62,9.331e+7,3.118e-7,9.331e+7
203.67,9.461e+7,1.608e-8,9.461e+7
203.72,8.682e+7,,8.682e+7
203.77,7.204e+7,,7.204e+7
203.82,5.399e+7,,5.399e+7
203.87,3.654e+7,,3.654e+7
203.92,2.251e+7,,2.251e+7
203.97,1.321e+7,,1.321e+7
204.02,8.858e+6,,8.858e+6
204.07,9.254e+6,,9.254e+6
204.12,1.426e+7,,1.426e+7
204.17,2.364e+7,,2.364e+7
204.22,3.639e+7,,3.639e+7
204.27,5.016e+7,,5.016e+7
204.32,6.145e+7,,6.145e+7
204.37,6.682e+7,,6.682e+7
204.42,6.446e+7,,6.446e+7
204.47,5.517e+7,,5.517e+7
204.52,4.189e+7,,4.189e+7
204.57,2.822e+7,,2.822e+7
204.62,1.687e+7,,1.687e+7
204.67,8.947e+6,,8.947e+6
204.72,4.211e+6,,4.211e+6
204.77,1.760e+6,,1.760e+6
204.82,6.547e+5,,6.547e+5
204.87,2.207e+5,,2.207e+5
204.92,8.155e+4,,8.155e+4
204.97,8.100e+4,,8.100e+4
205.02,2.142e+5,,2.142e+5
205.07,6.167e+5,,6.167e+5
205.12,1.606e+6,,1.606e+6
205.17,3.721e+6,,3.721e+6
205.22,7.660e+6,,7.660e+6
205.27,1.401e+7,,1.401e+7
205.32,2.276e+7,,2.276e+7
205.37,3.285e+7,,3.285e+7
205.42,4.212e+7,,4.212e+7
205.47,4.798e+7,,4.798e+7
205.52,4.854e+7,,4.854e+7
205.57,4.363e+7,,4.363e+7
205.62,3.484e+7,,3.484e+7
205.67,2.472e+7,,2.472e+7
205.72,1.557e+7,,1.557e+7
205.77,8.719e+6,,8.719e+6
205.82,4.336e+6,,4.336e+6
205.87,1.916e+6,,1.916e+6
205.92,7.532e+5,,7.532e+5
205.97,2.652e+5,,2.652e+5
206.02,8.680e+4,,8.680e+4
206.07,3.127e+4,,3.127e+4
206.12,1.806e+4,,1.806e+4
206.17,1.698e+4,,1.698e+4
206.22,1.791e+4,,1.791e+4
206.27,1.783e+4,,1.783e+4
206.32,1.631e+4,,1.631e+4
206.37,1.405e+4,,1.405e+4
206.42,1.204e+4,,1.204e+4
206.47,1.096e+4,,1.096e+4
206.52,1.086e+4,,1.086e+4
206.57,1.123e+4,,1.123e+4
206.62,1.137e+4,,1.137e+4
206.67,1.078e+4,,1.078e+4
206.72,9.425e+3,,9.425e+3
206.77,7.675e+3,,7.675e+3
206.82,6.012e+3,,6.012e+3
206.87,4.763e+3,,4.763e+3
206.92,3.973e+3,,3.973e+3
206.97,3.470e+3,,3.470e+3
207.02,3.029e+3,,3.029e+3
207.07,2.512e+3,,2.512e+3
207.12,1.915e+3,,1.915e+3
207.17,1.319e+3,,1.319e+3
207.22,8.159e+2,,8.159e+2
207.27,4.603e+2,,4.603e+2
207.32,2.684e+2,,2.684e+2
207.37,2.611e+2,,2.611e+2
207.42,5.335e+2,,5.335e+2
207.47,1.340e+3,,1.340e+3
207.52,3.165e+3,,3.165e+3
207.57,6.708e+3,,6.708e+3
207.62,1.267e+4,,1.267e+4
207.67,2.133e+4,,2.133e+4
207.72,3.199e+4,,3.199e+4
207.77,4.272e+4,,4.272e+4
207.82,5.082e+4,,5.082e+4
207.87,5.384e+4,,5.384e+4
207.92,5.082e+4,,5.082e+4
207.97,4.272e+4,,4.272e+4
208.02,3.200e+4,,3.200e+4
208.07,2.139e+4,,2.139e+4
208.12,1.282e+4,,1.282e+4
208.17,7.063e+3,,7.063e+3
208.22,3.951e+3,,3.951e+3
208.27,2.918e+3,,2.918e+3
208.32,3.447e+3,,3.447e+3
208.37,5.295e+3,,5.295e+3
208.42,8.581e+3,,8.581e+3
208.47,1.381e+4,,1.381e+4
208.52,2.175e+4,,2.175e+4
208.57,3.305e+4,,3.305e+4
208.62,4.748e+4,,4.748e+4
208.67,6.326e+4,,6.326e+4
208.72,7.696e+4,,7.696e+4
208.77,8.469e+4,,8.469e+4
208.82,8.377e+4,,8.377e+4
208.87,7.425e+4,,7.425e+4
208.92,5.893e+4,,5.893e+4
208.97,4.201e+4,,4.201e+4
209.02,2.729e+4,,2.729e+4
209.07,1.697e+4,,1.697e+4
209.12,1.147e+4,,1.147e+4
209.17,9.950e+3,,9.950e+3
209.22,1.099e+4,,1.099e+4
209.27,1.306e+4,,1.306e+4
209.32,1.482e+4,,1.482e+4
209.37,1.545e+4,,1.545e+4
209.42,1.483e+4,,1.483e+4
209.47,1.367e+4,,1.367e+4
209.52,1.322e+4,,1.322e+4
209.57,1.485e+4,,1.485e+4
209.62,1.943e+4,,1.943e+4
209.67,2.678e+4,,2.678e+4
209.72,3.554e+4,,3.554e+4
209.77,4.343e+4,,4.343e+4
209.82,4.853e+4,,4.853e+4
209.87,5.143e+4,,5.143e+4
209.92,5.922e+4,,5.922e+4
209.97,9.348e+4,,9.348e+4
210.02,2.061e+5,,2.061e+5
210.07,5.042e+5,,5.042e+5
210.12,1.177e+6,,1.177e+6
210.17,2.494e+6,,2.494e+6
210.22,4.740e+6,,4.740e+6
210.27,8.054e+6,,8.054e+6
210.32,1.223e+7,,1.223e+7
210.37,1.658e+7,,1.658e+7
210.42,2.009e+7,,2.009e+7
210.47,2.174e+7,,2.174e+7
210.52,2.102e+7,,2.102e+7
210.57,1.815e+7,,1.815e+7
210.62,1.402e+7,,1.402e+7
210.67,9.706e+6,,9.706e+6
210.72,6.125e+6,,6.125e+6
210.77,3.795e+6,,3.795e+6
210.82,2.949e+6,,2.949e+6
210.87,3.753e+6,,3.753e+6
210.92,6.453e+6,,6.453e+6
210.97,1.128e+7,,1.128e+7
211.02,1.815e+7,,1.815e+7
211.07,2.623e+7,,2.623e+7
211.12,3.393e+7,,3.393e+7
211.17,3.925e+7,,3.925e+7
211.22,4.059e+7,,4.059e+7
211.27,3.753e+7,,3.753e+7
211.32,3.102e+7,,3.102e+7
211.37,2.292e+7,,2.292e+7
211.42,1.515e+7,,1.515e+7
211.47,8.970e+6,,8.970e+6
211.52,4.772e+6,,4.772e+6
211.57,2.309e+6,,2.309e+6
211.62,1.052e+6,,1.052e+6
211.67,4.947e+5,,4.947e+5
211.72,2.895e+5,,2.895e+5
211.77,2.625e+5,,2.625e+5
211.82,3.961e+5,,3.961e+5
211.87,8.243e+5,,8.243e+5
211.92,1.855e+6,,1.855e+6
211.97,3.978e+6,,3.978e+6
212.02,7.784e+6,,7.784e+6
212.07,1.373e+7,,1.373e+7
212.12,2.178e+7,,2.178e+7
212.17,3.114e+7,,3.114e+7
212.22,4.034e+7,,4.034e+7
212.27,4.785e+7,,4.785e+7
212.32,5.286e+7,,5.286e+7
212.37,5.570e+7,,5.570e+7
212.42,5.748e+7,,5.748e+7
212.47,5.911e+7,,5.911e+7
212.52,6.035e+7,,6.035e+7
212.57,5.990e+7,,5.990e+7
212.62,5.627e+7,,5.627e+7
212.67,4.893e+7,,4.893e+7
212.72,3.882e+7,,3.882e+7
212.77,2.786e+7,,2.786e+7
212.82,1.800e+7,,1.800e+7
212.87,1.044e+7,,1.044e+7
212.92,5.446e+6,,5.446e+6
212.97,2.598e+6,,2.598e+6
213.02,1.300e+6,,1.300e+6
213.07,1.197e+6,,1.197e+6
213.12,2.535e+6,,2.535e+6
213.17,6.523e+6,,6.523e+6
213.22,1.572e+7,,1.572e+7
213.27,3.415e+7,,3.415e+7
213.32,6.657e+7,,6.657e+7
213.37,1.163e+8,,1.163e+8
213.42,1.822e+8,,1.822e+8
213.47,2.559e+8,,2.559e+8
213.52,3.220e+8,,3.220e+8
213.57,3.633e+8,,3.633e+8
213.62,3.672e+8,,3.672e+8
213.67,3.327e+8,,3.327e+8
213.72,2.701e+8,,2.701e+8
213.77,1.966e+8,,1.966e+8
213.82,1.282e+8,,1.282e+8
213.87,7.494e+7,,7.494e+7
213.92,3.926e+7,,3.926e+7
213.97,1.843e+7,,1.843e+7
214.02,7.753e+6,,7.753e+6
214.07,2.924e+6,,2.924e+6
214.12,9.882e+5,,9.882e+5
214.17,3.002e+5,,3.002e+5
214.22,8.471e+4,,8.471e+4
214.27,3.225e+4,,3.225e+4
214.32,4.707e+4,,4.707e+4
214.37,1.374e+5,,1.374e+5
214.42,3.993e+5,,3.993e+5
214.47,1.058e+6,,1.058e+6
214.52,2.531e+6,,2.531e+6
214.57,5.444e+6,,5.444e+6
214.62,1.052e+7,,1.052e+7
214.67,1.827e+7,,1.827e+7
214.72,2.846e+7,,2.846e+7
214.77,3.981e+7,,3.981e+7
214.82,4.996e+7,,4.996e+7
214.87,5.628e+7,,5.628e+7
214.92,5.689e+7,,5.689e+7
214.97,5.162e+7,,5.162e+7
215.02,4.203e+7,,4.203e+7
215.07,3.071e+7,,3.071e+7
215.12,2.015e+7,,2.015e+7
215.17,1.187e+7,,1.187e+7
215.22,6.282e+6,7.011e-7,6.282e+6
215.27,2.989e+6,1.042e-5,2.989e+6
215.32,1.281e+6,1.391e-4,1.281e+6
215.37,4.962e+5,1.670e-3,4.962e+5
215.42,1.745e+5,1.802e-2,1.745e+5
215.47,5.619e+4,1.748e-1,5.619e+4
215.52,1.682e+4,1.523e+0,1.681e+4
215.57,4.805e+3,1.194e+1,4.793e+3
215.62,1.506e+3,8.406e+1,1.422e+3
215.67,1.228e+3,5.321e+2,6.956e+2
215.72,4.001e+3,3.027e+3,9.736e+2
215.77,1.752e+4,1.548e+4,2.034e+3
215.82,7.529e+4,7.116e+4,4.125e+3
215.87,3.016e+5,2.940e+5,7.584e+3
215.92,1.104e+6,1.092e+6,1.254e+4
215.97,3.663e+6,3.644e+6,1.863e+4
216.02,1.096e+7,1.093e+7,2.488e+4
216.07,2.951e+7,2.948e+7,2.984e+4
216.12,7.148e+7,7.145e+7,3.217e+4
216.17,1.557e+8,1.557e+8,3.115e+4
216.22,3.048e+8,3.048e+8,2.710e+4
216.27,5.365e+8,5.364e+8,2.119e+4
216.32,8.486e+8,8.486e+8,1.488e+4
216.37,1.207e+9,1.207e+9,9.393e+3
216.42,1.542e+9,1.542e+9,5.327e+3
216.47,1.771e+9,1.771e+9,2.714e+3
216.52,1.829e+9,1.829e+9,1.242e+3
216.57,1.697e+9,1.697e+9,5.110e+2
216.62,1.416e+9,1.416e+9,1.888e+2
216.67,1.062e+9,1.062e+9,6.273e+1
216.72,7.155e+8,7.155e+8,1.887e+1
216.77,4.334e+8,4.334e+8,5.824e+0
216.82,2.360e+8,2.360e+8,4.799e+0
216.87,1.155e+8,1.155e+8,1.461e+1
216.92,5.079e+7,5.079e+7,5.160e+1
216.97,2.008e+7,2.008e+7,1.667e+2
217.02,7.136e+6,7.136e+6,4.857e+2
217.07,2.283e+6,2.281e+6,1.276e+3
217.12,6.692e+5,6.662e+5,3.037e+3
217.17,2.326e+5,2.260e+5,6.606e+3
217.22,2.996e+5,2.862e+5,1.342e+4
217.27,9.957e+5,9.691e+5,2.659e+4
217.32,3.422e+6,3.367e+6,5.498e+4
217.37,1.073e+7,1.061e+7,1.252e+5
217.42,3.040e+7,3.009e+7,3.102e+5
217.47,7.763e+7,7.685e+7,7.852e+5
217.52,1.786e+8,1.767e+8,1.908e+6
217.57,3.701e+8,3.658e+8,4.296e+6
217.62,6.911e+8,6.823e+8,8.812e+6
217.67,1.163e+9,1.147e+9,1.635e+7
217.72,1.768e+9,1.741e+9,2.734e+7
217.77,2.430e+9,2.389e+9,4.120e+7
217.82,3.033e+9,2.977e+9,5.590e+7
217.87,3.457e+9,3.389e+9,6.827e+7
217.92,3.635e+9,3.560e+9,7.506e+7
217.97,3.577e+9,3.503e+9,7.427e+7
218.02,3.353e+9,3.287e+9,6.615e+7
218.07,3.049e+9,2.996e+9,5.303e+7
218.12,2.714e+9,2.676e+9,3.827e+7
218.17,2.359e+9,2.334e+9,2.486e+7
218.22,1.973e+9,1.959e+9,1.453e+7
218.27,1.560e+9,1.552e+9,7.652e+6
218.32,1.146e+9,1.142e+9,3.633e+6
218.37,7.724e+8,7.708e+8,1.573e+6
218.42,4.743e+8,4.736e+8,6.770e+5
218.47,2.641e+8,2.637e+8,4.444e+5
218.52,1.333e+8,1.326e+8,6.928e+5
218.57,6.168e+7,6.016e+7,1.519e+6
218.62,2.785e+7,2.460e+7,3.249e+6
218.67,1.543e+7,9.062e+6,6.368e+6
218.72,1.441e+7,3.006e+6,1.140e+7
218.77,1.967e+7,8.981e+5,1.878e+7
218.82,2.901e+7,2.416e+5,2.877e+7
218.87,4.170e+7,5.849e+4,4.164e+7
218.92,5.791e+7,1.275e+4,5.789e+7
218.97,7.820e+7,2.503e+3,7.820e+7
219.02,1.028e+8,4.423e+2,1.028e+8
219.07,1.304e+8,7.037e+1,1.304e+8
219.12,1.571e+8,1.008e+1,1.571e+8
219.17,1.768e+8,1.300e+0,1.768e+8
219.22,1.837e+8,1.509e-1,1.837e+8
219.27,1.744e+8,1.577e-2,1.744e+8
219.32,1.506e+8,1.484e-3,1.506e+8
219.37,1.177e+8,1.257e-4,1.177e+8
219.42,8.323e+7,9.585e-6,8.323e+7
219.47,5.312e+7,6.581e-7,5.312e+7
219.52,3.060e+7,,3.060e+7
219.57,1.591e+7,,1.591e+7
219.62,7.476e+6,,7.476e+6
219.67,3.181e+6,,3.181e+6
219.72,1.232e+6,,1.232e+6
219.77,4.394e+5,,4.394e+5
219.82,1.488e+5,,1.488e+5
219.87,5.233e+4,,5.233e+4
219.92,2.345e+4,,2.345e+4
219.97,1.596e+4,,1.596e+4
220.02,1.430e+4,,1.430e+4
220.07,1.345e+4,,1.345e+4
220.12,1.198e+4,,1.198e+4
220.17,9.778e+3,,9.778e+3
220.22,7.278e+3,,7.278e+3
220.27,5.111e+3,,5.111e+3
220.32,4.206e+3,,4.206e+3
220.37,6.861e+3,,6.861e+3
220.42,2.014e+4,,2.014e+4
220.47,6.447e+4,,6.447e+4
220.52,1.918e+5,,1.918e+5
220.57,5.173e+5,,5.173e+5
220.62,1.260e+6,,1.260e+6
220.67,2.770e+6,,2.770e+6
220.72,5.499e+6,,5.499e+6
220.77,9.853e+6,,9.853e+6
220.82,1.594e+7,,1.594e+7
220.87,2.327e+7,,2.327e+7
220.92,3.068e+7,,3.068e+7
220.97,3.651e+7,,3.651e+7
221.02,3.922e+7,,3.922e+7
221.07,3.803e+7,,3.803e+7
221.12,3.330e+7,,3.330e+7
221.17,2.634e+7,,2.634e+7
221.22,1.886e+7,9.123e-8,1.886e+7
221.27,1.237e+7,1.324e-6,1.237e+7
221.32,7.818e+6,1.736e-5,7.818e+6
221.37,5.692e+6,2.058e-4,5.692e+6
221.42,6.369e+6,2.206e-3,6.369e+6
221.47,1.041e+7,2.137e-2,1.041e+7
221.52,1.859e+7,1.872e-1,1.859e+7
221.57,3.142e+7,1.482e+0,3.142e+7
221.62,4.849e+7,1.061e+1,4.849e+7
221.67,6.775e+7,6.866e+1,6.775e+7
221.72,8.557e+7,4.016e+2,8.557e+7
221.77,9.764e+7,2.124e+3,9.764e+7
221.82,1.007e+8,1.015e+4,1.007e+8
221.87,9.379e+7,4.387e+4,9.375e+7
221.92,7.904e+7,1.714e+5,7.887e+7
221.97,6.055e+7,6.051e+5,5.995e+7
222.02,4.309e+7,1.932e+6,4.116e+7
222.07,3.110e+7,5.574e+6,2.553e+7
222.12,2.885e+7,1.454e+7,1.431e+7
222.17,4.154e+7,3.429e+7,7.243e+6
222.22,7.643e+7,7.311e+7,3.317e+6
222.27,1.423e+8,1.409e+8,1.386e+6
222.32,2.460e+8,2.455e+8,5.625e+5
222.37,3.869e+8,3.866e+8,3.176e+5
222.42,5.508e+8,5.504e+8,4.331e+5
222.47,7.093e+8,7.084e+8,9.308e+5
222.52,8.262e+8,8.242e+8,2.015e+6
222.57,8.709e+8,8.669e+8,4.010e+6
222.62,8.314e+8,8.242e+8,7.242e+6
222.67,7.202e+8,7.084e+8,1.184e+7
222.72,5.679e+8,5.504e+8,1.752e+7
222.77,4.101e+8,3.866e+8,2.345e+7
222.82,2.739e+8,2.455e+8,2.838e+7
222.87,1.720e+8,1.409e+8,3.107e+7
222.92,1.039e+8,7.311e+7,3.077e+7
222.97,6.185e+7,3.429e+7,2.756e+7
223.02,3.686e+7,1.454e+7,2.232e+7
223.07,2.193e+7,5.574e+6,1.635e+7
223.12,1.277e+7,1.932e+6,1.084e+7
223.17,7.105e+6,6.051e+5,6.500e+6
223.22,3.700e+6,1.714e+5,3.529e+6
223.27,1.779e+6,4.387e+4,1.735e+6
223.32,7.838e+5,1.015e+4,7.737e+5
223.37,3.154e+5,2.124e+3,3.132e+5
223.42,1.159e+5,4.017e+2,1.155e+5
223.47,3.935e+4,6.952e+1,3.928e+4
223.52,1.389e+4,1.615e+1,1.387e+4
223.57,1.107e+4,3.361e+1,1.104e+4
223.62,2.954e+4,1.688e+2,2.937e+4
223.67,9.765e+4,8.011e+2,9.685e+4
223.72,3.006e+5,3.447e+3,2.972e+5
223.77,8.407e+5,1.343e+4,8.273e+5
223.82,2.133e+6,4.738e+4,2.085e+6
223.87,4.911e+6,1.514e+5,4.760e+6
223.92,1.027e+7,4.379e+5,9.835e+6
223.97,1.955e+7,1.147e+6,1.840e+7
224.02,3.390e+7,2.720e+6,3.118e+7
224.07,5.370e+7,5.842e+6,4.786e+7
224.12,7.795e+7,1.136e+7,6.659e+7
224.17,1.042e+8,2.001e+7,8.414e+7
224.22,1.289e+8,3.190e+7,9.697e+7
224.27,1.490e+8,4.606e+7,1.029e+8
224.32,1.629e+8,6.022e+7,1.027e+8
224.37,1.716e+8,7.129e+7,1.003e+8
224.42,1.779e+8,7.642e+7,1.015e+8
224.47,1.855e+8,7.418e+7,1.114e+8
224.52,1.967e+8,6.520e+7,1.315e+8
224.57,2.104e+8,5.189e+7,1.586e+8
224.62,2.222e+8,3.739e+7,1.848e+8
224.67,2.256e+8,2.440e+7,2.012e+8
224.72,2.156e+8,1.442e+7,2.012e+8
224.77,1.910e+8,7.714e+6,1.833e+8
224.82,1.553e+8,3.737e+6,1.516e+8
224.87,1.153e+8,1.640e+6,1.137e+8
224.92,7.788e+7,6.513e+5,7.723e+7
224.97,4.777e+7,2.343e+5,4.753e+7
225.02,2.658e+7,7.631e+4,2.650e+7
225.07,1.341e+7,2.250e+4,1.339e+7
225.12,6.130e+6,6.010e+3,6.124e+6
225.17,2.540e+6,1.453e+3,2.538e+6
225.22,9.545e+5,3.182e+2,9.542e+5
225.27,3.267e+5,6.310e+1,3.267e+5
225.32,1.039e+5,1.133e+1,1.038e+5
225.37,3.330e+4,1.842e+0,3.330e+4
225.42,1.371e+4,2.711e-1,1.371e+4
225.47,9.024e+3,3.613e-2,9.024e+3
225.52,7.813e+3,4.361e-3,7.813e+3
225.57,6.906e+3,4.767e-4,6.906e+3
225.62,5.687e+3,4.717e-5,5.687e+3
225.67,4.273e+3,4.227e-6,4.273e+3
225.72,2.921e+3,3.430e-7,2.921e+3
225.77,1.837e+3,2.520e-8,1.837e+3
225.82,1.125e+3,,1.125e+3
225.87,8.280e+2,,8.280e+2
225.92,1.005e+3,,1.005e+3
225.97,1.798e+3,,1.798e+3
226.02,3.455e+3,,3.455e+3
226.07,6.274e+3,,6.274e+3
226.12,1.046e+4,,1.046e+4
226.17,1.591e+4,,1.591e+4
226.22,2.211e+4,,2.211e+4
226.27,2.806e+4,,2.806e+4
226.32,3.258e+4,,3.258e+4
226.37,3.466e+4,,3.466e+4
226.42,3.386e+4,,3.386e+4
226.47,3.045e+4,,3.045e+4
226.52,2.529e+4,,2.529e+4
226.57,1.946e+4,,1.946e+4
226.62,1.392e+4,,1.392e+4
226.67,9.267e+3,,9.267e+3
226.72,5.757e+3,,5.757e+3
226.77,3.345e+3,,3.345e+3
226.82,1.853e+3,,1.853e+3
226.87,1.150e+3,,1.150e+3
226.92,1.445e+3,,1.445e+3
226.97,4.028e+3,,4.028e+3
227.02,1.318e+4,,1.318e+4
227.07,4.056e+4,,4.056e+4
227.12,1.139e+5,,1.139e+5
227.17,2.903e+5,,2.903e+5
227.22,6.721e+5,,6.721e+5
227.27,1.413e+6,,1.413e+6
227.32,2.697e+6,,2.697e+6
227.37,4.675e+6,,4.675e+6
227.42,7.359e+6,,7.359e+6
227.47,1.052e+7,,1.052e+7
227.52,1.365e+7,,1.365e+7
227.57,1.608e+7,,1.608e+7
227.62,1.721e+7,,1.721e+7
227.67,1.672e+7,,1.672e+7
227.72,1.475e+7,,1.475e+7
227.77,1.181e+7,,1.181e+7
227.82,8.593e+6,,8.593e+6
227.87,5.676e+6,,5.676e+6
227.92,3.405e+6,,3.405e+6
227.97,1.855e+6,,1.855e+6
228.02,9.182e+5,,9.182e+5
228.07,4.128e+5,,4.128e+5
228.12,1.687e+5,,1.687e+5
228.17,6.276e+4,,6.276e+4
228.22,2.150e+4,,2.150e+4
228.27,7.295e+3,,7.295e+3
228.32,3.424e+3,,3.424e+3
228.37,3.398e+3,,3.398e+3
228.42,4.979e+3,,4.979e+3
228.47,7.374e+3,,7.374e+3
228.52,1.009e+4,,1.009e+4
228.57,1.260e+4,,1.260e+4
228.62,1.436e+4,,1.436e+4
228.67,1.511e+4,,1.511e+4
228.72,1.522e+4,,1.522e+4
228.77,1.652e+4,,1.652e+4
228.82,2.411e+4,,2.411e+4
228.87,5.062e+4,,5.062e+4
228.92,1.251e+5,,1.251e+5
228.97,3.073e+5,,3.073e+5
229.02,7.053e+5,,7.053e+5
229.07,1.485e+6,,1.485e+6
229.12,2.852e+6,,2.852e+6
229.17,4.988e+6,,4.988e+6
229.22,7.939e+6,,7.939e+6
229.27,1.149e+7,,1.149e+7
229.32,1.514e+7,,1.514e+7
229.37,1.813e+7,,1.813e+7
229.42,1.975e+7,,1.975e+7
229.47,1.956e+7,,1.956e+7
229.52,1.762e+7,,1.762e+7
229.57,1.443e+7,,1.443e+7
229.62,1.075e+7,,1.075e+7
229.67,7.283e+6,,7.283e+6
229.72,4.487e+6,,4.487e+6
229.77,2.514e+6,,2.514e+6
229.82,1.281e+6,,1.281e+6
229.87,5.934e+5,,5.934e+5
229.92,2.500e+5,,2.500e+5
229.97,9.579e+4,,9.579e+4
230.02,3.338e+4,,3.338e+4
230.07,1.058e+4,,1.058e+4
230.12,3.047e+3,,3.047e+3
230.17,7.985e+2,,7.985e+2
230.22,1.903e+2,,1.903e+2
230.27,4.124e+1,,4.124e+1
230.32,8.126e+0,,8.126e+0
230.37,1.456e+0,,1.456e+0
230.42,2.373e-1,,2.373e-1
230.47,3.518e-2,,3.518e-2
230.52,4.741e-3,,4.741e-3
230.57,5.811e-4,,5.811e-4
230.62,6.476e-5,,6.476e-5
230.67,6.565e-6,,6.565e-6
230.72,6.051e-7,,6.051e-7
230.77,5.072e-8,,5.072e-8
230.82,3.866e-9,,3.866e-9
232.23,1.673e-12,,1.673e-12
232.28,2.040e-11,,2.040e-11
232.33,2.270e-10,,2.270e-10
232.38,2.305e-9,,2.305e-9
232.43,2.135e-8,,2.135e-8
232.48,1.805e-7,,1.805e-7
232.53,1.392e-6,,1.392e-6
232.58,9.800e-6,,9.800e-6
232.63,6.294e-5,,6.294e-5
232.68,3.688e-4,,3.688e-4
232.73,1.972e-3,,1.972e-3
232.78,9.622e-3,,9.622e-3
232.83,4.283e-2,,4.283e-2
232.88,1.740e-1,,1.740e-1
232.93,6.449e-1,,6.449e-1
232.98,2.181e+0,,2.181e+0
233.03,6.731e+0,,6.731e+0
233.08,1.895e+1,,1.895e+1
233.13,4.869e+1,,4.869e+1
233.18,1.142e+2,,1.142e+2
233.23,2.442e+2,,2.442e+2
233.28,4.766e+2,,4.766e+2
233.33,8.488e+2,,8.488e+2
233.38,1.379e+3,,1.379e+3
233.43,2.045e+3,,2.045e+3
233.48,2.767e+3,,2.767e+3
233.53,3.417e+3,,3.417e+3
233.58,3.849e+3,,3.849e+3
233.63,3.956e+3,,3.956e+3
233.68,3.710e+3,,3.710e+3
233.73,3.175e+3,,3.175e+3
233.78,2.479e+3,,2.479e+3
233.83,1.767e+3,,1.767e+3
233.88,1.148e+3,,1.148e+3
233.93,6.813e+2,,6.813e+2
233.98,3.688e+2,,3.688e+2
234.03,1.821e+2,,1.821e+2
234.08,8.208e+1,,8.208e+1
234.13,3.375e+1,,3.375e+1
234.18,1.266e+1,,1.266e+1
234.23,4.336e+0,,4.336e+0
234.28,1.354e+0,,1.354e+0
234.33,3.861e-1,,3.861e-1
234.38,1.004e-1,,1.004e-1
234.43,2.383e-2,,2.383e-2
234.48,5.161e-3,,5.161e-3
234.53,1.020e-3,,1.020e-3
