obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""203.60291""","=""0.00017""","=""203.60277""","=""0.00005""","=""00""","=""""",,"=""0.000""","=""49099.463""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3D*""","=""2""",,"=""""","=""L10989""",
"=""203.68215""","=""0.00017""","=""203.68216""","=""0.00007""","=""4""","=""""",,"=""0.000""","=""49080.327""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3D*""","=""1""",,"=""""","=""L10989""",
"=""204.09868""","=""0.00017""","=""204.09861""","=""0.00005""","=""00""","=""""",,"=""170.1328""","=""49150.329""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3D*""","=""3""",,"=""""","=""L10989""",
"=""204.31073""","=""0.00017""","=""204.31082""","=""0.00005""","=""5""","=""""",,"=""170.1328""","=""49099.463""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3D*""","=""2""",,"=""""","=""L10989""",
"=""205.00592""","=""0.00017""","=""205.00590""","=""0.00005""","=""5""","=""""",,"=""386.874""","=""49150.329""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3D*""","=""3""",,"=""""","=""L10989""",
"=""205.67711""","=""0.00017""","=""205.67746""","=""0.00013""","=""0""","=""""",,"=""170.1328""","=""48774.39""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
"=""205.93997""","=""0.00017""","=""205.93997""","=""0.00008""","=""4""","=""""",,"=""0.000""","=""48542.31""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""206.05923""","=""0.00017""","=""206.05928""","=""0.00003""","=""5""","=""""",,"=""170.1328""","=""48684.340""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""206.17054""","=""0.00017""","=""206.17073""","=""0.00013""","=""6""","=""""",,"=""386.874""","=""48874.86""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""206.28734""","=""0.00017""","=""206.28730""","=""0.00013""","=""4""","=""""",,"=""0.000""","=""48460.59""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(2F).5p""","=""3F*""","=""2""",,"=""""","=""L10989""",
"=""206.29143""","=""0.00017""","=""206.29178""","=""0.00017""","=""4""","=""""",,"=""170.1328""","=""48629.67""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3F*""","=""3""",,"=""""","=""L10989""",
"=""206.59877""","=""0.00017""","=""206.59887""","=""0.00013""","=""7""","=""""",,"=""386.874""","=""48774.39""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
"=""206.66438""","=""0.00017""","=""206.66439""","=""0.00009""","=""4""","=""""",,"=""170.1328""","=""48542.31""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""206.98398""","=""0.00017""","=""206.98412""","=""0.00003""","=""1""","=""""",,"=""386.874""","=""48684.340""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""207.21857""","=""0.00017""","=""207.218652""","=""0.000011""","=""2*""","=""""",,"=""170.1328""","=""48412.9432""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F<9/2>).4f""","=""2[7/2]*""","=""4""",,"=""""","=""L10989""",
"=""207.21857""","=""0.00017""","=""207.218734""","=""0.000007""","=""2*""","=""""",,"=""0.000""","=""48242.7911""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F<7/2>).4f""","=""2[3/2]*""","=""2""",,"=""""","=""L10989""",
"=""211.38076""","=""0.00018""","=""211.38084""","=""0.00004""","=""00""","=""""",,"=""170.1328""","=""47463.135""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2F).4p""","=""p 3F*""","=""4""",,"=""""","=""L10989""",
"=""211.85342""","=""0.00018""","=""211.85348""","=""0.00004""","=""5""","=""""",,"=""0.000""","=""47187.507""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(2F).4p""","=""p 3F*""","=""2""",,"=""""","=""L10989""",
"=""212.19432""","=""0.00018""","=""212.19416""","=""0.00004""","=""6""","=""""",,"=""170.1328""","=""47281.887""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2F).4p""","=""p 3F*""","=""3""",,"=""""","=""L10989""",
"=""212.35489""","=""0.00018""","=""212.35417""","=""0.00004""","=""10""","=""""",,"=""386.874""","=""47463.135""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2F).4p""","=""p 3F*""","=""4""",,"=""""","=""L10989""",
"=""213.94896""","=""0.00018""","=""213.94893""","=""0.00005""","=""8""","=""""",,"=""0.000""","=""46725.398""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(2F).4p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""214.21292""","=""0.00018""","=""214.21278""","=""0.00003""","=""9""","=""""",,"=""170.1328""","=""46837.984""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2F).4p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""214.36167""","=""0.00018""","=""214.36157""","=""0.00003""","=""10""","=""""",,"=""386.874""","=""47022.337""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2F).4p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""214.7304""","=""0.0005""","=""214.73088""","=""0.00006""","=""00""","=""""",,"=""170.1328""","=""46725.398""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2F).4p""","=""3G*""","=""3""",,"=""""","=""L16762""",
"=""215.21236""","=""0.00019""","=""215.21241""","=""0.00003""","=""0""","=""""",,"=""386.874""","=""46837.984""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2F).4p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""221.13810""","=""0.00020""","=""221.13821""","=""0.00007""","=""0""","=""""",,"=""0.000""","=""45206.499""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(4F).5p""","=""n 3D*""","=""3""",,"=""""","=""L10989""",
"=""221.83760""","=""0.00020""","=""221.83784""","=""0.00009""","=""5bl""","=""""",,"=""0.000""","=""45063.941""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(4F).5p""","=""n 3D*""","=""2""",,"=""""","=""L10989""",
"=""221.97356""","=""0.00020""","=""221.97368""","=""0.00007""","=""5""","=""""",,"=""170.1328""","=""45206.499""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""n 3D*""","=""3""",,"=""""","=""L10989""",
"=""222.14474""","=""0.00020""","=""222.14478""","=""0.00003""","=""9""","=""""",,"=""0.000""","=""45001.681""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(4F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""222.31845""","=""0.00020""","=""222.31847""","=""0.00010""","=""8""","=""""",,"=""0.000""","=""44966.527""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(4F).5p""","=""n 3D*""","=""1""",,"=""""","=""L10989""",
"=""222.51111""","=""0.00020""","=""222.51122""","=""0.00004""","=""10""","=""""",,"=""170.1328""","=""45097.711""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""222.67851""","=""0.00020""","=""222.67862""","=""0.00009""","=""8""","=""""",,"=""170.1328""","=""45063.941""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""n 3D*""","=""2""",,"=""""","=""L10989""",
"=""222.97246""","=""0.00020""","=""222.972504""","=""0.000015""","=""8""","=""""",,"=""0.000""","=""44834.642""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(4F).5p""","=""3F*""","=""2""",,"=""""","=""L10989""",
"=""222.98793""","=""0.00020""","=""222.98789""","=""0.00003""","=""0""","=""""",,"=""170.1328""","=""45001.681""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""223.02191""","=""0.00020""","=""223.02182""","=""0.00003""","=""10""","=""""",,"=""386.874""","=""45211.603""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""223.04709""","=""0.00020""","=""223.04722""","=""0.00007""","=""10""","=""""",,"=""386.874""","=""45206.499""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(4F).5p""","=""n 3D*""","=""3""",,"=""""","=""L10989""",
"=""223.38016""","=""0.00020""","=""223.38008""","=""0.00003""","=""9""","=""""",,"=""170.1328""","=""44922.979""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""3F*""","=""3""",,"=""""","=""L10989""",
"=""223.8221""","=""0.0002""","=""223.821917""","=""0.000020""","=""6""","=""""",,"=""170.1328""","=""44834.642""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""3F*""","=""2""",,"=""""","=""L10989""",
"=""223.8743""","=""0.0002""","=""223.87419""","=""0.00003""","=""10""","=""""",,"=""386.874""","=""45040.955""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(4F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
"=""224.4675""","=""0.0002""","=""224.46729""","=""0.00004""","=""7""","=""""",,"=""386.874""","=""44922.979""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(4F).5p""","=""3F*""","=""3""",,"=""""","=""L10989""",
"=""226.1780""","=""0.0002""","=""226.17806""","=""0.00005""","=""1""","=""""",,"=""170.1328""","=""44369.406""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""5F*""","=""4""",,"=""""","=""L10989""",
"=""226.4016""","=""0.0002""","=""226.40181""","=""0.00003""","=""12""","=""2.3e+07""",D,"=""0.000""","=""44155.596""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""3G*""","=""3""",,"=""T3499n""","=""L10989""",
"=""226.6148""","=""0.0002""","=""226.61481""","=""0.00004""","=""0""","=""""",,"=""170.1328""","=""44284.231""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(4F).5p""","=""5F*""","=""3""",,"=""""","=""L10989""",
"=""226.7367""","=""0.0002""","=""226.73671""","=""0.00004""","=""6""","=""""",,"=""386.874""","=""44477.256""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(4F).5p""","=""5F*""","=""5""",,"=""""","=""L10989""",
"=""226.7545""","=""0.0002""","=""226.754289""","=""0.000021""","=""13""","=""""",,"=""170.1328""","=""44257.098""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""226.7914""","=""0.0002""","=""226.79135""","=""0.00003""","=""10""","=""""",,"=""0.000""","=""44079.761""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""2""",,"=""""","=""L10989""",
"=""226.8751""","=""0.0002""","=""226.87512""","=""0.00003""","=""9""","=""""",,"=""170.1328""","=""44233.620""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""3""",,"=""""","=""L10989""",
"=""227.2612""","=""0.0002""","=""227.26126""","=""0.00003""","=""13""","=""""",,"=""386.874""","=""44375.500""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
"=""227.2773""","=""0.0002""","=""227.27760""","=""0.00003""","=""5""","=""""",,"=""170.1328""","=""44155.596""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""227.2927""","=""0.0002""","=""227.29275""","=""0.00005""","=""1""","=""""",,"=""386.874""","=""44369.406""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(4F).5p""","=""5F*""","=""4""",,"=""""","=""L10989""",
"=""227.3279""","=""0.0002""","=""227.32799""","=""0.00004""","=""14""","=""""",,"=""0.000""","=""43975.715""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""1""",,"=""""","=""L10989""",
"=""227.6702""","=""0.0002""","=""227.67016""","=""0.00003""","=""14""","=""1.3e+08""",C,"=""170.1328""","=""44079.761""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""2""",,"=""T3499n""","=""L10989""",
"=""227.8747""","=""0.0002""","=""227.874673""","=""0.000021""","=""6""","=""""",,"=""386.874""","=""44257.098""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""227.9967""","=""0.0002""","=""227.99670""","=""0.00003""","=""15""","=""9.4e+07""",C,"=""386.874""","=""44233.620""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""o 3D*""","=""3""",,"=""T3499n""","=""L10989""",
"=""229.3747""","=""0.0002""","=""229.374698""","=""0.000021""","=""8""","=""""",,"=""0.000""","=""43583.355""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""3""",,"=""""","=""L10989""",
"=""229.4205""","=""0.0002""","=""229.42047""","=""0.00003""","=""8""","=""""",,"=""170.1328""","=""43744.793""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""4""",,"=""""","=""L10989""",
"=""229.9858""","=""0.0002""","=""229.98591""","=""0.00003""","=""14""","=""6.9e+07""",C,"=""0.000""","=""43467.537""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""2""",,"=""T3499n""","=""L10989""",
"=""230.2736""","=""0.0002""","=""230.273678""","=""0.000021""","=""14""","=""5.7e+07""",C,"=""170.1328""","=""43583.355""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""3""",,"=""T3499n""","=""L10989""",
"=""230.5674""","=""0.0002""","=""230.56742""","=""0.00003""","=""15""","=""5.2e+07""",C,"=""386.874""","=""43744.793""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""4""",,"=""T3499n""","=""L10989""",
"=""230.8898""","=""0.0002""","=""230.88970""","=""0.00003""","=""7""","=""""",,"=""170.1328""","=""43467.537""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""2""",,"=""""","=""L10989""",
"=""231.4292""","=""0.0002""","=""231.429193""","=""0.000022""","=""6""","=""""",,"=""386.874""","=""43583.355""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""r 3F*""","=""3""",,"=""""","=""L10989""",
"=""232.8798""","=""0.0005""","=""232.88032""","=""0.00004""","=""00""","=""""",,"=""0.000""","=""42927.337""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(2P).4p""","=""1D*""","=""2""",,"=""""","=""L16762""",
"=""236.5034""","=""0.0002""","=""236.50366""","=""0.00004""","=""0""","=""""",,"=""0.000""","=""42269.727""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""5D*""","=""2""",,"=""""","=""L10989""",
"=""236.8567""","=""0.0002""","=""236.85655""","=""0.00003""","=""""","=""""",,"=""0.000""","=""42206.755""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d.4s2.4p""","=""q 3D*""","=""2""",,"=""""","=""L10989""",
"=""236.8581""","=""0.0002""","=""236.85875""","=""0.00003""","=""""","=""""",,"=""170.1328""","=""42376.495""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""5D*""","=""3""",,"=""""","=""L10989""",
"=""236.9282""","=""0.0002""","=""236.928438""","=""0.000023""","=""4""","=""""",,"=""0.000""","=""42193.949""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.4s.(4F).5p""","=""5D*""","=""1""",,"=""""","=""L10989""",
"=""237.1959""","=""0.0002""","=""237.19605""","=""0.00003""","=""7""","=""""",,"=""0.000""","=""42146.348""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d.4s2.4p""","=""q 3D*""","=""1""",,"=""""","=""L10989""",
"=""237.2256""","=""0.0002""","=""237.22542""","=""0.00003""","=""4""","=""""",,"=""170.1328""","=""42311.264""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d.4s2.4p""","=""q 3D*""","=""3""",,"=""""","=""L10989""",
"=""237.3522""","=""0.0002""","=""237.35319""","=""0.00005""","=""4""","=""""",,"=""386.874""","=""42505.322""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""5D*""","=""4""",,"=""""","=""L10989""",
"=""237.4592""","=""0.0002""","=""237.45949""","=""0.00004""","=""6""","=""""",,"=""170.1328""","=""42269.727""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""5D*""","=""2""",,"=""""","=""L10989""",
"=""237.8150""","=""0.0002""","=""237.81524""","=""0.00003""","=""8""","=""""",,"=""170.1328""","=""42206.755""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d.4s2.4p""","=""q 3D*""","=""2""",,"=""""","=""L10989""",
"=""238.0814""","=""0.0002""","=""238.08146""","=""0.00003""","=""7""","=""""",,"=""386.874""","=""42376.495""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""5D*""","=""3""",,"=""""","=""L10989""",
"=""238.4517""","=""0.0002""","=""238.45193""","=""0.00003""","=""10""","=""9.0e+06""",C,"=""386.874""","=""42311.264""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d.4s2.4p""","=""q 3D*""","=""3""",,"=""T3499n""","=""L10989""",
"=""239.0725""","=""0.0002""","=""239.07253""","=""0.00006""","=""0""","=""""",,"=""170.1328""","=""41985.701""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(4F).5p""","=""5F*""","=""3""",,"=""""","=""L10989""",
"=""239.4665""","=""0.0005""","=""239.466953""","=""0.000014""","=""00""","=""""",,"=""6661.006""","=""48407.7054""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d2.4s.(4F<9/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L16762""",
"=""239.7046""","=""0.0002""","=""239.70433""","=""0.00003""","=""1""","=""""",,"=""386.874""","=""42092.236""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(4F).5p""","=""5F*""","=""4""",,"=""""","=""L10989""",
"=""239.9371""","=""0.0005""","=""239.936843""","=""0.000014""","=""00""","=""""",,"=""6742.756""","=""48407.7054""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d2.4s.(4F<9/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L16762""",
"=""239.95540""","=""0.00006""","=""239.955380""","=""0.000013""","=""6""","=""""",,"=""6742.756""","=""48404.4870""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d2.4s.(4F<9/2>).4f""","=""2[9/2]*""","=""4""",,"=""""","=""L12119""",
"=""240.3987""","=""0.0005""","=""240.39870""","=""0.00004""","=""00""","=""""",,"=""0.000""","=""41584.908""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(2G).4p""","=""v 1F*""","=""3""",,"=""""","=""L16762""",
"=""240.43831""","=""0.00006""","=""240.438309""","=""0.000014""","=""10""","=""""",,"=""6661.006""","=""48239.0643""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d2.4s.(4F<7/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L12119""",
"=""240.4543""","=""0.0002""","=""240.454349""","=""0.000018""","=""1""","=""""",,"=""6661.006""","=""48236.2911""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d2.4s.(4F<7/2>).4f""","=""2[9/2]*""","=""4""",,"=""""","=""L10989""",
"=""240.48327""","=""0.00006""","=""240.483296""","=""0.000013""","=""6""","=""""",,"=""6661.006""","=""48231.2870""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d2.4s.(4F<7/2>).4f""","=""2[7/2]*""","=""4""",,"=""""","=""L12119""",
"=""240.48508""","=""0.00006""","=""240.485031""","=""0.000018""","=""6""","=""""",,"=""6842.962""","=""48412.9432""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d2.4s.(4F<9/2>).4f""","=""2[7/2]*""","=""4""",,"=""""","=""L12119""",
"=""240.53443""","=""0.00002""","=""240.534447""","=""0.000018""","=""15""","=""""",,"=""6842.962""","=""48404.4036""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d2.4s.(4F<9/2>).4f""","=""2[11/2]*""","=""5""",,"=""""","=""L12119""",
"=""240.55396""","=""0.00006""","=""240.553974""","=""0.000023""","=""5""","=""""",,"=""6556.833""","=""48114.901""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d2.4s.(4F<5/2>).4f""","=""2[1/2]*""","=""1""",,"=""""","=""L12119""",
"=""240.65424""","=""0.00006""","=""240.654227""","=""0.000018""","=""5""","=""""",,"=""6556.833""","=""48097.5899""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d2.4s.(4F<5/2>).4f""","=""2[5/2]*""","=""2""",,"=""""","=""L12119""",
"=""240.88399""","=""0.00006""","=""240.884004""","=""0.000018""","=""6""","=""""",,"=""6598.765""","=""48099.8996""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d2.4s.(4F<5/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L12119""",
"=""240.9272""","=""0.0005""","=""240.928125""","=""0.000018""","=""00""","=""""",,"=""6742.756""","=""48236.2911""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d2.4s.(4F<7/2>).4f""","=""2[9/2]*""","=""4""",,"=""""","=""L16762""",
"=""240.95719""","=""0.00006""","=""240.957187""","=""0.000013""","=""5""","=""""",,"=""6742.756""","=""48231.2870""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d2.4s.(4F<7/2>).4f""","=""2[7/2]*""","=""4""",,"=""""","=""L12119""",
"=""241.1369""","=""0.0002""","=""241.13675""","=""0.00003""","=""7""","=""""",,"=""0.000""","=""41457.639""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d.4s2.4p""","=""s 3F*""","=""3""",,"=""""","=""L10989""",
"=""241.1568""","=""0.0005""","=""241.15742""","=""0.00003""","=""4""","=""""",,"=""170.1328""","=""41624.219""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d.4s2.4p""","=""s 3F*""","=""4""",,"=""""","=""L16762""",
"=""241.15937""","=""0.00006""","=""241.159370""","=""0.000023""","=""10""","=""""",,"=""6556.833""","=""48010.5835""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d2.4s.(4F<3/2>).4f""","=""2[5/2]*""","=""2""",,"=""""","=""L12119""",
"=""241.3864""","=""0.0002""","=""241.38634""","=""0.00004""","=""0""","=""""",,"=""170.1328""","=""41584.908""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2G).4p""","=""v 1F*""","=""3""",,"=""""","=""L10989""",
"=""241.47703""","=""0.00006""","=""241.476973""","=""0.000018""","=""9""","=""""",,"=""6598.765""","=""47997.9976""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d2.4s.(4F<3/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L12119""",
"=""241.5685""","=""0.0005""","=""241.569566""","=""0.000018""","=""00""","=""""",,"=""6842.962""","=""48226.3275""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d2.4s.(4F<7/2>).4f""","=""2[11/2]*""","=""6""",,"=""""","=""L16762""",
"=""241.8362""","=""0.0002""","=""241.83617""","=""0.00004""","=""12""","=""1.2e+07""",C,"=""0.000""","=""41337.748""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d.4s2.4p""","=""s 3F*""","=""2""",,"=""T3499n""","=""L10989""",
"=""242.1305""","=""0.0002""","=""242.13047""","=""0.00003""","=""15+""","=""1.3e+07""",C,"=""170.1328""","=""41457.639""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d.4s2.4p""","=""s 3F*""","=""3""",,"=""T3499n""","=""L10989""",
"=""242.4255""","=""0.0002""","=""242.42502""","=""0.00004""","=""15+""","=""1.7e+07""",C,"=""386.874""","=""41624.219""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d.4s2.4p""","=""s 3F*""","=""4""",,"=""T3499n""","=""L10989""",
"=""242.6562""","=""0.0002""","=""242.65636""","=""0.00004""","=""00""","=""""",,"=""386.874""","=""41584.908""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2G).4p""","=""v 1F*""","=""3""",,"=""""","=""L10989""",
"=""242.8214""","=""0.0002""","=""242.82157""","=""0.00003""","=""10""","=""7.7e+06""",C,"=""0.000""","=""41170.006""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(2H).4p""","=""3G*""","=""3""",,"=""T3499n""","=""L10989""",
"=""242.8355""","=""0.0002""","=""242.83567""","=""0.00004""","=""8""","=""""",,"=""170.1328""","=""41337.748""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d.4s2.4p""","=""s 3F*""","=""2""",,"=""""","=""L10989""",
"=""243.1783""","=""0.0002""","=""243.17858""","=""0.00005""","=""4""","=""""",,"=""7255.355""","=""48364.925""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d3.(2F).4p""","=""u 1F*""","=""3""",,"=""""","=""L10989""",
"=""243.3218""","=""0.0002""","=""243.32195""","=""0.00003""","=""11""","=""""",,"=""170.1328""","=""41255.481""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2H).4p""","=""3G*""","=""4""",,"=""""","=""L10989""",
"=""243.4080""","=""0.0002""","=""243.40836""","=""0.00003""","=""8""","=""""",,"=""386.874""","=""41457.639""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d.4s2.4p""","=""s 3F*""","=""3""",,"=""""","=""L10989""",
"=""243.8290""","=""0.0002""","=""243.82926""","=""0.00003""","=""6""","=""""",,"=""170.1328""","=""41170.006""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d3.(2H).4p""","=""3G*""","=""3""",,"=""""","=""L10989""",
"=""244.0980""","=""0.0002""","=""244.09841""","=""0.00005""","=""12""","=""7.2e+06""",C,"=""386.874""","=""41341.543""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2H).4p""","=""3G*""","=""5""",,"=""T3499n""","=""L10989""",
"=""244.6122""","=""0.0002""","=""244.61247""","=""0.00003""","=""7""","=""""",,"=""386.874""","=""41255.481""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d3.(2H).4p""","=""3G*""","=""4""",,"=""""","=""L10989""",
